timestamp_seconds,force_value,Time_S,Force_N
0.078255653,0.21,0,0.095
0.078348875,0.21,0.2,0.296
0.078459501,0.13,0.4,0.296
0.078542709,0.13,0.6,0.397
0.078626394,0.13,0.8,0.296
0.078704119,0.08,1,0.196
0.078779459,0.08,1.2,0.497
0.078855991,0.08,1.4,0.196
0.078926802,0.18,1.6,0.296
0.078999758,0.18,1.8,0.397
0.079070091,0.18,2,0.397
0.079138041,0.28,2.2,0.397
0.079210758,0.34,2.4,0.296
0.079278231,0.28,2.6,0.196
0.079349518,0.28,2.8,0.397
0.079416513,0.28,3,0.095
0.079482794,0.21,3.2,0.296
0.079554081,0.13,3.4,0.196
0.079626322,0.13,3.6,0.196
0.079698086,0.13,3.8,0.497
0.07976532,0.13,4,0.196
0.079831839,0.08,4.2,0.196
0.079902172,0.08,4.4,0.497
0.080010653,0.08,4.6,-0.005
0.173649788,0.08,4.8,0.397
0.399698496,0.13,5,5.321
0.627239227,0.13,5.01,6.024
0.846949577,0.13,5.21,5.723
1.084127426,0.13,5.41,5.522
1.319687128,0.13,5.61,5.421
1.541222572,0.08,5.81,5.321
1.766147375,0.08,6.01,5.12
1.990944624,0.08,6.21,5.522
2.235721827,0.08,6.41,5.22
2.443201303,0.08,6.61,5.22
2.69318223,0.08,6.81,5.421
2.904914618,0.18,7.01,5.019
3.138183117,0.13,7.21,5.12
3.354894876,0.13,7.41,4.718
3.594314575,0.13,7.61,4.818
3.827925205,0.13,7.81,4.818
4.041386366,0.08,8.01,4.718
4.282288313,0.08,8.21,4.818
4.498099089,0.08,8.41,4.718
4.73768568,0.08,8.61,4.718
4.95635438,0.08,8.81,4.718
5.198838949,1.54,9.01,4.718
5.421769619,2.56,9.21,4.818
5.660515547,3.48,9.41,4.718
5.868053675,4.3,9.61,4.718
6.105895519,5.07,9.81,4.718
6.327961683,5.18,10.01,4.718
6.550454378,5.24,10.21,4.718
6.797968149,5.23,10.41,4.718
7.025640488,5.25,10.61,4.718
7.230823517,5.29,10.81,4.718
7.459013224,5.31,11.01,4.718
7.711474657,5.31,11.21,4.718
7.939245701,5.31,11.41,4.818
8.167030096,5.36,11.61,4.718
8.375860214,5.38,11.81,4.718
8.606208324,5.32,12.01,4.718
8.836833239,5.32,12.21,4.818
9.06776762,5.33,12.41,4.818
9.303982973,5.36,12.61,4.718
9.51511693,5.38,12.81,4.718
9.7516675,5.44,13.01,4.718
9.989173651,5.45,13.21,4.718
10.20218349,5.48,13.41,4.818
10.43355656,5.44,13.61,4.718
10.67166376,5.4,13.81,4.617
10.88186193,5.46,14.01,4.617
11.11753917,5.47,14.21,4.718
11.35716558,5.39,14.41,4.617
11.57061744,5.37,14.61,4.718
11.80931807,5.42,14.81,4.718
12.02464938,5.38,15.01,4.517
12.25880003,5.37,15.21,4.718
12.49278331,5.44,15.41,4.617
12.72525454,5.48,15.61,4.517
12.93210268,5.72,15.81,4.718
13.16394806,5.7,16.01,4.617
13.40267062,5.7,16.21,4.718
13.61750913,5.72,16.41,4.718
13.86119676,5.7,16.61,4.416
14.07785487,5.33,16.81,4.718
14.31124735,5.34,17.01,4.617
14.5432303,5.36,17.21,4.617
14.77493024,5.36,17.41,4.718
14.98385024,5.38,17.61,4.617
15.2162044,5.49,17.81,4.617
15.45615029,5.55,18.01,4.718
15.6732688,5.55,18.21,4.718
15.91229272,5.54,18.41,4.617
16.12863636,5.7,18.61,4.718
16.36023211,5.73,18.81,4.416
16.59382367,5.71,19.01,4.718
16.82597184,5.7,19.21,4.617
17.0368228,5.71,19.41,4.617
17.27563834,5.6,19.61,4.718
17.49286199,5.55,19.81,4.617
17.73194337,5.52,20.01,4.718
17.95001912,5.51,20.02,4.718
18.18710613,5.49,20.22,0.296
18.41964293,5.46,20.42,0.296
18.65151882,5.45,20.62,0.095
18.85920882,5.47,20.82,0.196
19.09148908,5.53,21.02,0.296
19.33374619,5.54,21.22,-0.005
19.54781103,5.52,21.42,0.397
19.78579569,5.52,21.62,0.296
19.99946332,5.52,21.82,0.296
20.2396071,5.5,22.02,0.397
20.47297478,4.67,22.22,0.196
20.68311286,3.81,22.42,0.397
20.92279363,2.88,22.62,0.397
21.15673852,1.79,22.82,0.296
21.37347937,0.08,23.02,0.296
21.61365676,0.08,23.22,0.296
21.82950139,0.08,23.42,0.397
22.06956887,0.13,23.62,0.397
22.281991,0.13,23.82,0.095
22.51360369,0.13,24.02,0.397
22.74594069,0.21,24.22,0.397
22.97598314,0.21,24.42,-0.005
23.20902777,0.18,24.62,0.296
23.42812777,0.18,24.82,0.196
23.66842771,0.39,,
23.88267374,0.36,,
24.12147045,0.36,,
24.33319736,0.36,,
24.56434393,0.47,,
24.79644322,0.28,,
